Price,Address,Beds,Baths,Sqft,URL
$379000,10260 Headrick Dr Las Vegas NV 89166,3,2.5,1349,https://www.redfin.com/NV/Las-Vegas/10260-Headrick-Dr-89166/home/30502715
$379900,5954 Autumn Harvest Ave Las Vegas NV 89142,3,2.5,1505,https://www.redfin.com/NV/Las-Vegas/5954-Autumn-Harvest-Ave-89142/home/29399542
$365000,4710 Meredith Ave Las Vegas NV 89121,3,3.5,1898,https://www.redfin.com/NV/Las-Vegas/4710-Meredith-Ave-89121/home/29430043
$325000,1805 Brady Ave Las Vegas NV 89101,3,2,1130,https://www.redfin.com/NV/Las-Vegas/1805-E-Brady-Ave-89101/home/29335311
$319990,5435 Bradford Pear Dr Las Vegas NV 89122,3,2.5,1362,https://www.redfin.com/NV/Las-Vegas/5435-Bradford-Pear-Dr-89122/home/29315550
$299999,715 W Adams Ave Las Vegas NV 89106,3,2,1400,https://www.redfin.com/NV/Las-Vegas/715-W-Adams-Ave-89106/home/29336816
$375000,3648 Mount Vernon Ave Las Vegas NV 89121,3,3,1920,https://www.redfin.com/NV/Las-Vegas/3648-Mt-Vernon-Ave-89121/home/29423538
$349998,5975 Bonita Canyon Ave Las Vegas NV 89142,3,2,1202,https://www.redfin.com/NV/Las-Vegas/5975-Bonita-Canyon-Ave-89142/home/29401412
$339000,3243 Nottingham Dr Las Vegas NV 89121,3,2,2010,https://www.redfin.com/NV/Las-Vegas/3243-Nottingham-Dr-89121/home/29412681
$354000,3515 Milford Haven St Las Vegas NV 89122,3,2.5,1589,https://www.redfin.com/NV/Las-Vegas/3515-Milford-Haven-St-89122/home/29028924
N/A,N/A,N/A,N/A,N/A,N/A
$360000,2504 Valparaiso St Las Vegas NV 89108,3,2,1378,https://www.redfin.com/NV/Las-Vegas/2504-Valparaiso-St-89108/home/29140929
$353000,9324 Horizon Vista Ln Las Vegas NV 89117,3,2.5,1598,https://www.redfin.com/NV/Las-Vegas/9324-Horizon-Vista-Ln-89117/home/29551905
$339000,6109 Aberdeen Ln Las Vegas NV 89107,3,2,1480,https://www.redfin.com/NV/Las-Vegas/6109-Aberdeen-Ln-89107/home/29197434
$345000,2331 Crowley Way Las Vegas NV 89142,3,2,1231,https://www.redfin.com/NV/Las-Vegas/2331-Crowley-Way-89142/home/29406932
$374999,6229 Autumn Creek Dr Las Vegas NV 89130,3,2,1220,https://www.redfin.com/NV/Las-Vegas/6229-Autumn-Creek-Dr-89130/home/29093417
$339990,4606 Cory Pl Las Vegas NV 89107,3,2,1347,https://www.redfin.com/NV/Las-Vegas/4606-Cory-Pl-89107/home/29344268
$335000,1204 Palm Ter Las Vegas NV 89106,3,3,1694,https://www.redfin.com/NV/Las-Vegas/1204-Palm-Ter-89106/home/29339368
N/A,N/A,N/A,N/A,N/A,N/A
$314999,3172 Cameron St Las Vegas NV 89102,3,2.5,1365,https://www.redfin.com/NV/Las-Vegas/3172-Cameron-St-89102/home/29462902
$217000,1480 Hialeah Dr Unit B Las Vegas NV 89119,3,2.5,1114,https://www.redfin.com/NV/Las-Vegas/1480-Hialeah-Dr-89119/unit-B/home/29505648
$349888,4511 Mountain Vista St Las Vegas NV 89121,3,2,1620,https://www.redfin.com/NV/Las-Vegas/4511-S-Mountain-Vista-St-89121/home/29428436
$369990,7316 Decatur Blvd Unit 3 North Las Vegas NV 89084,3,2.5,1659,https://www.redfin.com/NV/North-Las-Vegas/7316-N-Decatur-Blvd-89084/unit-3/home/181402532
$360000,2701 Fishook Cactus Ct Las Vegas NV 89106,3,2.5,1678,https://www.redfin.com/NV/Las-Vegas/2701-Fishhook-Cactus-Ct-89106/home/29955660
$350000,3636 Wild Willow St Las Vegas NV 89129,3,2,1238,https://www.redfin.com/NV/Las-Vegas/3636-Wild-Willow-St-89129/home/29122549
$368000,550 Swiss Cottage Ave Las Vegas NV 89178,3,2.5,1484,https://www.redfin.com/NV/Las-Vegas/550-Swiss-Cottage-Ave-89178/home/29054837
$355000,4209 San Joaquin Ave Las Vegas NV 89102,3,2,1798,https://www.redfin.com/NV/Las-Vegas/4209-San-Joaquin-Ave-89102/home/29463703
$370000,9012 Canyon Magic Ave Las Vegas NV 89129,3,2,1259,https://www.redfin.com/NV/Las-Vegas/9012-Canyon-Magic-Ave-89129/home/29124533
N/A,N/A,N/A,N/A,N/A,N/A
$339999,3791 Decade St Las Vegas NV 89121,3,2,1650,https://www.redfin.com/NV/Las-Vegas/3791-Decade-St-89121/home/29423273
$289994,409 Holland Ave Las Vegas NV 89106,3,2,1046,https://www.redfin.com/NV/Las-Vegas/409-Holland-Ave-89106/home/29324319
$329999,3615 Rio Mayo Dr Las Vegas NV 89121,3,2,1180,https://www.redfin.com/NV/Las-Vegas/3615-Rio-Mayo-Dr-89121/home/29421691
